index,Answer,Dyad,Is_there,Joint,Player,Round,Score,Strategy,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,where_x,where_y,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
6182,Absent,31272939,Unicorn_Absent,19,293922,3,13,9,37,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,-1,-1,Unicorn_Present,RS,RS,NOTHING,6182,0,28.19078947368421,-77.0,44,0.88125,29.0,0.07894736842105263,44.0,0.02489331436699857,0.390625,0.005537830714382473,0.99375,,,1,0.03130111324493289
6184,Absent,31272939,Unicorn_Absent,0,293922,5,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6184,0,28.19078947368421,28.19078947368421,76,1.0,0.0,0.0,32.0,0.375,0.5,1.0,0.88125,0.07894736842105263,0.02489331436699857,19,0.005537830714382473
6185,Absent,31272939,Unicorn_Absent,0,293922,6,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Present,NOTHING,NOTHING,NOTHING,6185,0,28.19078947368421,32.0,108,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,0.0,0.375,0,1.0
6187,Absent,31272939,Unicorn_Absent,0,293922,8,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6187,0,28.19078947368421,28.19078947368421,140,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
6188,Absent,31272939,Unicorn_Absent,0,293922,9,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6188,0,28.19078947368421,28.19078947368421,172,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
6189,Absent,31272939,Unicorn_Absent,0,293922,10,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6189,0,28.19078947368421,28.19078947368421,204,1.0,0.0,1.0,32.0,0.0,0.5,1.0,1.0,1.0,0.0,0,1.0
6190,Absent,31272939,Unicorn_Absent,0,293922,11,-64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Present,NOTHING,NOTHING,NOTHING,6190,0,28.19078947368421,-64.0,140,0.4,0.0,1.0,28.0,0.6956521739130435,0.4375,1.0,1.0,1.0,0.0,0,1.0
6193,Absent,31272939,Unicorn_Absent,0,293922,14,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6193,0,28.19078947368421,28.19078947368421,172,1.0,0.0,1.0,31.0,0.7173913043478262,0.484375,1.0,0.4,1.0,0.6956521739130435,0,1.0
6194,Absent,31272939,Unicorn_Absent,0,293922,15,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6194,0,28.19078947368421,28.19078947368421,204,1.0,0.0,1.0,10.0,0.8285714285714285,0.15625,1.0,1.0,1.0,0.7173913043478262,0,1.0
6195,Absent,31272939,Unicorn_Absent,0,293922,16,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,Unicorn_Absent,NOTHING,NOTHING,NOTHING,6195,0,28.19078947368421,28.19078947368421,236,1.0,0.0,1.0,12.0,0.9,0.1875,1.0,1.0,1.0,0.8285714285714285,0,1.0
