index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,Zeta
4009,73863971,25,397127,Absent,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,393,1.0,4.0,1.0,10.0,0.30043541364296084,0.15625,RS,RS,0.1353352832366127,1.0,1.0,0.011188811188811154,0,0.1353352832366127,0
4015,73863971,28,397127,Absent,46,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,18,14,Unicorn_Absent,-1,-1.0,9,411,0.9125,35.0,0.05405405405405406,45.0,0.30043541364296084,0.484375,RS,RS,0.004584084770106734,1.0,1.0,0.30043541364296084,0,0.1353352832366127,0
4019,73863971,30,397127,Absent,30,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,30,2,Unicorn_Absent,-1,-1.0,9,441,0.9875,26.0,0.24489795918367346,31.0,0.0,0.453125,RS,RS,0.0061027272741740034,0.9125,0.05405405405405406,0.30043541364296084,14,0.004584084770106734,0
4027,73863971,34,397127,Absent,26,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,22,10,Unicorn_Absent,-1,-1.0,9,463,0.9375,21.0,0.20512820512820512,31.0,0.0,0.328125,RS,RS,0.010228516799093708,0.9875,0.24489795918367346,0.0,2,0.0061027272741740034,0
4029,73863971,35,397127,Absent,46,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,9,485,0.9375,35.0,0.21739130434782608,39.0,0.0,0.453125,RS,RS,0.004584084770106734,0.9375,0.20512820512820512,0.0,10,0.010228516799093708,0
4035,73863971,38,397127,Absent,40,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,497,0.875,28.0,0.3125,51.0,0.0,0.484375,RS,RS,0.009182867495108389,0.9375,0.21739130434782608,0.0,10,0.004584084770106734,0
4037,73863971,39,397127,Absent,20,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,19,13,Unicorn_Absent,-1,-1.0,9,516,0.91875,17.0,0.25,43.0,0.0,0.46875,RS,RS,0.016194143319162562,0.875,0.3125,0.0,20,0.009182867495108389,0
4039,73863971,40,397127,Absent,10,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,548,1.0,8.0,0.13636363636363635,23.0,0.0,0.359375,RS,RS,0.059105746561956225,0.91875,0.25,0.0,13,0.016194143319162562,0
4043,73863971,42,397127,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,579,0.99375,1.0,0.0,16.0,0.0,0.234375,RS,RS,0.36787944117144233,1.0,0.13636363636363635,0.0,0,0.059105746561956225,0
4047,73863971,44,397127,Absent,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,609,0.9875,11.0,0.0,22.0,0.0,0.3125,RS,RS,0.03627506129959581,0.99375,0.0,0.0,1,0.36787944117144233,0
