index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1,RS
1185,74927198,53,719822,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,27,Unicorn_Absent,-1,-1.0,1,832,0.83125,64.0,0.5,64.0,0.0,0.578125,ALL,ALL,1.0,0.8,0.10256410256410256,0.0,32,1.0,0.05
1187,74927198,54,719822,Absent,51,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,15,17,Unicorn_Absent,-1,-1.0,9,847,0.89375,38.0,0.59375,49.0,0.0,0.5,RS,RS,0.0061027272741740034,0.83125,0.5,0.0,27,1.0,0.05
1191,74927198,56,719822,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,1,Unicorn_Absent,-1,-1.0,3,878,0.99375,32.0,0.2962962962962963,32.0,0.0,0.484375,DOWN,DOWN,1.0,0.89375,0.59375,0.0,17,0.0061027272741740034,0.05
1197,74927198,59,719822,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,19,Unicorn_Absent,-1,-1.0,1,891,0.88125,64.0,0.5,64.0,0.0,0.703125,ALL,ALL,1.0,0.99375,0.2962962962962963,0.0,1,1.0,0.05
1080,74927198,1,749223,Absent,57,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,10,22,Unicorn_Absent,-1,-1.0,0,10,0.8625,39.0,1.0,57.0,0.0,0.546875,RS,RS,0.006737946999085467,,,,,,0.05
1084,74927198,3,749223,Absent,21,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25,7,Unicorn_Absent,-1,-1.0,0,35,0.95625,18.0,0.2127659574468085,47.0,0.0,0.625,RS,RS,0.01436959609043909,0.8625,1.0,0.0,22,0.006737946999085467,0.05
1086,74927198,4,749223,Absent,30,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,26,6,Unicorn_Absent,-1,-1.0,0,61,0.9625,23.0,0.17142857142857143,37.0,0.0,0.484375,RS,RS,0.008264124158046258,0.95625,0.2127659574468085,0.0,7,0.01436959609043909,0.05
1096,74927198,9,749223,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,8,80,0.91875,28.0,0.24390243902439024,46.0,0.0,0.515625,OUT,OUT,1.0,0.9625,0.17142857142857143,0.0,6,0.008264124158046258,0.05
1098,74927198,10,749223,Absent,26,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,31,1,Unicorn_Absent,-1,-1.0,0,111,0.99375,21.0,0.225,28.0,0.0,0.421875,RS,RS,0.010228516799093708,0.91875,0.24390243902439024,0.0,13,1.0,0.05
1102,74927198,12,749223,Absent,23,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19,13,Unicorn_Absent,-1,-1.0,0,130,0.91875,20.0,0.1388888888888889,43.0,0.0,0.46875,RS,RS,0.01142289099346694,0.99375,0.225,0.0,1,0.010228516799093708,0.05
1106,74927198,14,749223,Absent,35,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,25,7,Unicorn_Absent,-1,-1.0,0,155,0.95625,29.0,0.2894736842105263,38.0,0.0,0.484375,RS,RS,0.004584084770106734,0.91875,0.1388888888888889,0.0,13,0.01142289099346694,0.05
1108,74927198,15,749223,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,187,1.0,32.0,0.35555555555555557,32.0,0.36,0.5,RIGHT,RIGHT,1.0,0.95625,0.2894736842105263,0.0,7,0.004584084770106734,0.05
1110,74927198,16,749223,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,6,219,1.0,32.0,1.0,32.0,0.36,0.5,RIGHT,RIGHT,1.0,1.0,0.35555555555555557,0.36,0,1.0,0.05
1114,74927198,18,749223,Absent,17,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,251,1.0,16.0,0.17073170731707318,16.0,0.027777777777777762,0.25,RS,RS,0.01831563888873418,1.0,1.0,0.36,0,1.0,0.05
1116,74927198,19,749223,Absent,17,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,283,1.0,16.0,1.0,16.0,0.027777777777777762,0.25,RS,RS,0.01831563888873418,1.0,0.17073170731707318,0.027777777777777762,0,0.01831563888873418,0.05
1122,74927198,22,749223,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,315,1.0,32.0,0.2972972972972973,32.0,0.0,0.5,UP,UP,1.0,1.0,1.0,0.027777777777777762,0,0.01831563888873418,0.05
1130,74927198,26,749223,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,347,1.0,32.0,1.0,32.0,0.0,0.5,UP,UP,1.0,1.0,0.2972972972972973,0.0,0,1.0,0.05
1132,74927198,27,749223,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,379,1.0,32.0,1.0,32.0,0.0,0.5,UP,UP,1.0,1.0,1.0,0.0,0,1.0,0.05
