level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
23408,0,9783061818,9,97830,Absent,36,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,25,1,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23408,0,26.490084033613446,25.0,81,0.95625,27,0.11764705882352941,33.0,0.012383900928792574,0.5,0.005537830714382473,0.99375,0.09302325581395349,0.10697674418604652,1.0,0.03627506129959581
23410,0,9783061818,11,97830,Absent,17,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,23410,0,26.490084033613446,26.490084033613446,106,0.95625,16,0.16216216216216217,42.0,0.014308426073131958,0.546875,0.01831563888873418,0.95625,0.11764705882352941,0.012383900928792574,1.0,0.005537830714382473
23411,0,9783061818,12,97830,Absent,17,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,23411,0,26.490084033613446,26.490084033613446,131,0.95625,16,1.0,42.0,0.0,0.546875,0.01831563888873418,0.95625,0.16216216216216217,0.014308426073131958,7.0,0.01831563888873418
23412,0,9783061818,13,97830,Absent,53,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,-64,0,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,23412,0,26.490084033613446,-64.0,67,0.4,38,0.125,38.0,0.125,0.59375,0.0061027272741740034,0.95625,1.0,0.0,7.0,0.01831563888873418
23414,0,9783061818,15,97830,Absent,10,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,DOWN,23414,0,26.490084033613446,26.490084033613446,97,0.9875,10,0.11627906976744186,28.0,0.11627906976744186,0.40625,0.04232921962320499,0.4,0.125,0.125,0.0,0.0061027272741740034
23415,0,9783061818,16,97830,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,9,Unicorn_Absent,-1,-1.0,3,Unicorn_Present,DOWN,DOWN,UP,23415,0,26.490084033613446,-68.0,120,0.94375,32,0.10526315789473684,43.0,0.8947368421052632,0.53125,1.0,0.9875,0.11627906976744186,0.11627906976744186,2.0,0.04232921962320499
23418,0,9783061818,19,97830,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,Unicorn_Absent,-1,-1.0,4,Unicorn_Present,UP,UP,RS,23418,0,26.490084033613446,-32.333333333333336,135,0.89375,32,0.0,51.0,0.19148936170212766,0.53125,1.0,0.94375,0.10526315789473684,0.8947368421052632,9.0,1.0
23422,0,9783061818,23,97830,Absent,42,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,14,18,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,NOTHING,23422,0,26.490084033613446,-20.0,149,0.8875,34,0.2692307692307692,48.0,0.09076923076923077,0.46875,0.0061027272741740034,0.89375,0.0,0.19148936170212766,17.0,1.0
23427,0,9783061818,28,97830,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Absent,NOTHING,NOTHING,NOTHING,23427,0,26.490084033613446,26.490084033613446,181,1.0,0,0.0,32.0,0.3333333333333333,0.5,1.0,0.8875,0.2692307692307692,0.09076923076923077,18.0,0.0061027272741740034
23428,0,9783061818,29,97830,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,RIGHT,23428,0,26.490084033613446,-64.0,117,0.4,0,1.0,32.0,0.0,0.5,1.0,1.0,0.0,0.3333333333333333,0.0,1.0
