index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
4237.0,7141314769,37,147695,Absent,22.0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,27.0,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,697.0,1.0,3.0,RS,5279,0,27.0,27.0,35,0.22916666666666666,47,0.008928571428571425,0.421875,27.0,0.96875,0.15384615384615385,0.15649867374005305,RS,RS,ALL
4239.0,7141314769,40,147695,Absent,30.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,20.0,12,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,738.0,0.925,15.0,RS,5283,0,20.0,0.0,25,0.2765957446808511,42,0.0789598108747045,0.46875,27.0,1.0,0.22916666666666666,0.008928571428571425,RS,ALL,RS
4240.0,7141314769,41,147695,Absent,64.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,32,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,738.0,0.8,12.0,ALL,5284,0,0.0,-53.0,64,0.390625,64,0.06453804347826086,0.5,20.0,0.925,0.2765957446808511,0.0789598108747045,RS,RS,RS
4243.0,7141314769,42,147695,Absent,24.0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,-53.0,17,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,585.0,1.0,19.0,RS,5285,0,-53.0,-53.0,31,0.484375,49,0.19591346153846156,0.5,0.0,0.8,0.390625,0.06453804347826086,ALL,RS,RS
4245.0,7141314769,46,147695,Absent,23.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,25.0,7,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,549.0,0.95625,13.0,RS,5290,0,25.0,-19.0,21,0.20930232558139536,39,0.009302325581395349,0.5,-53.0,1.0,0.484375,0.19591346153846156,RS,RS,RS
4248.0,7141314769,47,147695,Absent,18.0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,-19.0,22,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,449.0,1.0,6.0,RS,5291,0,-19.0,-19.0,36,0.2127659574468085,59,0.15978306216103463,0.578125,25.0,0.95625,0.20930232558139536,0.009302325581395349,RS,RS,RS
4250.0,7141314769,51,147695,Absent,39.0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,14.0,18,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,484.0,0.8875,1.0,RS,5296,0,14.0,4.0,33,0.3269230769230769,52,0.19159544159544156,0.53125,-19.0,1.0,0.2127659574468085,0.15978306216103463,RS,RS,OUT
4253.0,7141314769,52,147695,Absent,17.0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,4.0,16,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,482.0,1.0,8.0,RS,5297,0,4.0,4.0,32,0.27450980392156865,47,0.008509064002959643,0.484375,14.0,0.8875,0.3269230769230769,0.19159544159544156,RS,OUT,RS
4255.0,7141314769,56,147695,Absent,28.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18.0,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,515.0,0.9125,7.0,OUT,5302,0,18.0,-70.0,28,0.17647058823529413,46,0.16395494367959948,0.5,4.0,1.0,0.27450980392156865,0.008509064002959643,RS,RS,RS
4256.0,7141314769,57,147695,Absent,33.0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,-70.0,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,445.0,1.0,14.0,RS,5303,0,-70.0,-70.0,35,0.26,49,0.14425531914893613,0.453125,18.0,0.9125,0.17647058823529413,0.16395494367959948,OUT,RS,RS
