Dyad,Player,Round,Category,RegionCoded,RegionGo,Score,JointRegion
1442928372,144290,37,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,38,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,39,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,40,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,42,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,45,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,46,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,47,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,51,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,52,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,53,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,DOWN,18,GNOVW3456789;:
1442928372,144290,55,DOWN,GHIJKLMNOPQRSTUVWXYZ0123456789;:,,18,GNOVW3456789;:
1442928372,283723,2,RS,aeghmoqrsuvxzBGJKLMNOPQRVWX01456789:,RS,16,eghsvxBGLOQVX579
1442928372,283723,9,RS,bceghlmopqtwyABFGHJKPRSTUX468;:,RS,17,cgltBHPSTUX46;:
1442928372,283723,10,RS,cghnopsxBFGLMNOQUVWY12346;,RS,19,gnxBGNO12346;
1442928372,283723,12,RS,ehjlmpqstuvCEIJMNPQRUX0234578;,RS,16,hjlmqsuNPQU2345;
1442928372,283723,13,RS,abcefghiklnopqtxzBDEFHMUVWXZ145689:,OUT,9,acfgikloptzBDHMUVXZ159:
1442928372,283723,15,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,17,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,18,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,19,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,22,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,23,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,27,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,28,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,30,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,33,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,34,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,35,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,37,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,38,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,39,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
1442928372,283723,40,OUT,abcdefghipqxyFGNOVW3456789;:,OUT,18,GNOVW3456789;:
