index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity,Similarity_LAG1
2,1272388898,3,127238,Absent,26,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,23,9,Unicorn_Absent,-1,-1,0,Unicorn_Absent,77,0.94375,4.0,RS,2,0,16.0,20,0.16129032258064516,34,0.024756189047261817,0.390625,28.0,0.975,0.3125,0.007739938080495334,RS,ALL,ALL,0.3333333333333333,0.2972972972972973
6,1272388898,7,127238,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,27,Unicorn_Absent,-1,-1,1,Unicorn_Absent,82,0.83125,9.0,ALL,6,0,3.0,64,0.3125,64,0.0763888888888889,0.578125,23.0,0.94375,1.0,0.024756189047261817,RS,ALL,ALL,1.0,0.3333333333333333
7,1272388898,8,127238,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,29,Unicorn_Absent,-1,-1,1,Unicorn_Absent,85,0.81875,27.0,ALL,7,0,3.0,64,1.0,64,0.7272727272727273,0.546875,5.0,0.83125,1.0,0.0763888888888889,ALL,ALL,ALL,1.0,1.0
10,1272388898,11,127238,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,28,Unicorn_Absent,-1,-1,1,Unicorn_Absent,89,0.825,29.0,ALL,10,0,-32.0,64,1.0,64,0.7045454545454546,0.5625,3.0,0.81875,1.0,0.7272727272727273,ALL,ALL,LEFT,1.0,1.0
11,1272388898,12,127238,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-32,64,Unicorn_Absent,-1,-1,1,Unicorn_Absent,57,0.6,28.0,ALL,11,0,14.0,64,1.0,64,0.5625,0.0,4.0,0.825,0.5,0.7045454545454546,ALL,LEFT,LEFT,1.0,1.0
12,1272388898,13,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,14,18,Unicorn_Absent,-1,-1,5,Unicorn_Absent,71,0.8875,64.0,LEFT,12,0,14.0,32,0.5,50,0.0625,0.5,-32.0,0.6,1.0,0.5625,ALL,LEFT,LEFT,1.0,1.0
15,1272388898,16,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,14,18,Unicorn_Absent,-1,-1,5,Unicorn_Absent,85,0.8875,18.0,LEFT,15,0,14.0,32,1.0,50,0.0,0.5,14.0,0.8875,1.0,0.0625,LEFT,LEFT,LEFT,1.0,1.0
18,1272388898,19,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,18,14,Unicorn_Absent,-1,-1,5,Unicorn_Absent,103,0.9125,18.0,LEFT,18,0,19.0,32,1.0,46,0.7450980392156863,0.5,14.0,0.8875,1.0,0.0,LEFT,LEFT,LEFT,1.0,1.0
19,1272388898,20,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,19,13,Unicorn_Absent,-1,-1,5,Unicorn_Absent,122,0.91875,14.0,LEFT,19,0,19.0,32,1.0,43,0.7906976744186046,0.46875,18.0,0.9125,1.0,0.7450980392156863,LEFT,LEFT,LEFT,1.0,1.0
34,1272388898,35,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,138,0.9,13.0,LEFT,34,0,16.0,32,1.0,48,0.8333333333333334,0.5,19.0,0.91875,1.0,0.7906976744186046,LEFT,LEFT,LEFT,1.0,1.0
35,1272388898,36,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,154,0.9,16.0,LEFT,35,0,16.0,32,1.0,48,0.0,0.5,16.0,0.9,1.0,0.8333333333333334,LEFT,LEFT,LEFT,1.0,1.0
39,1272388898,40,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,170,0.9,16.0,LEFT,39,0,16.0,32,1.0,48,0.0,0.5,16.0,0.9,1.0,0.0,LEFT,LEFT,LEFT,1.0,1.0
40,1272388898,41,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,186,0.9,16.0,LEFT,40,0,16.0,32,1.0,48,0.0,0.5,16.0,0.9,1.0,0.0,LEFT,LEFT,LEFT,1.0,1.0
47,1272388898,48,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,202,0.9,16.0,LEFT,47,0,16.0,32,1.0,48,0.0,0.5,16.0,0.9,1.0,0.0,LEFT,LEFT,LEFT,1.0,1.0
48,1272388898,49,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,218,0.9,16.0,LEFT,48,0,16.0,32,1.0,48,0.0,0.5,16.0,0.9,1.0,0.0,LEFT,LEFT,LEFT,1.0,1.0
49,1272388898,50,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,234,0.9,16.0,LEFT,49,0,16.0,32,1.0,48,0.0,0.5,16.0,0.9,1.0,0.0,LEFT,LEFT,LEFT,1.0,1.0
50,1272388898,51,127238,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,Unicorn_Absent,250,0.9,16.0,LEFT,50,0,16.0,32,1.0,48,0.0,0.5,16.0,0.9,1.0,0.0,LEFT,LEFT,LEFT,1.0,1.0
