index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
5332,15964364,27,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,146,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5334,15964364,28,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,173,0.96875,29.0,1.0,36.0,0.003919372900335949,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5336,15964364,29,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,200,0.96875,29.0,1.0,36.0,0.003919372900335949,0.484375,RS,0.96875,1.0,0.003919372900335949,5,RS,0.5,0
5338,15964364,30,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,227,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.003919372900335949,5,RS,0.5,0
5340,15964364,31,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,254,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5342,15964364,32,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,281,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5344,15964364,33,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,308,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5346,15964364,34,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,335,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5348,15964364,35,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,362,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
5350,15964364,36,159625,Absent,38,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,27,5,Unicorn_Absent,-1,-1.0,0,389,0.96875,29.0,1.0,36.0,0.0,0.484375,RS,0.96875,1.0,0.0,5,RS,0.5,0
