level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
391,753,85989584,17,958464,Absent,27,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,9,-37,0.9875,23.0,0.23333333333333334,28.0,0.0,0.40625,,0.22999588864622464,0.95625,1.0,0.0,7,0.30119421191220214,0,150
393,755,85989584,18,958464,Absent,62,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,14,18,Unicorn_Absent,-1,-1.0,9,-23,0.8875,40.0,0.23529411764705882,56.0,0.06725146198830412,0.59375,,0.1430984807006795,0.9875,0.23333333333333334,0.0,2,0.22999588864622464,0,150
395,759,85989584,20,958464,Absent,62,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,14,18,Unicorn_Absent,-1,-1.0,9,-91,0.8875,40.0,1.0,56.0,0.06725146198830412,0.59375,,0.1430984807006795,0.8875,0.23529411764705882,0.06725146198830412,18,0.1430984807006795,0,150
397,763,85989584,22,958464,Absent,57,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1.0,9,-39,0.925,37.0,0.42592592592592593,45.0,0.0,0.515625,,0.16529888822158656,0.8875,1.0,0.06725146198830412,18,0.1430984807006795,0,150
399,765,85989584,23,958464,Absent,57,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1.0,9,-19,0.925,37.0,1.0,45.0,0.0,0.515625,,0.16529888822158656,0.925,0.42592592592592593,0.0,12,0.16529888822158656,0,150
401,775,85989584,28,958464,Absent,17,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,28,4,Unicorn_Absent,-1,-1.0,9,-179,0.975,15.0,0.20930232558139536,33.0,0.0,0.453125,,0.2902735027026453,0.925,1.0,0.0,12,0.16529888822158656,0,150
403,785,85989584,33,958464,Absent,22,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,31,1,Unicorn_Absent,-1,-1.0,9,-30,0.99375,17.0,0.23076923076923078,25.0,0.0,0.375,,0.2800485757226742,0.975,0.20930232558139536,0.0,4,0.2902735027026453,0,150
405,791,85989584,36,958464,Absent,39,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,19,13,Unicorn_Absent,-1,-1.0,9,-45,0.91875,27.0,0.1891891891891892,42.0,0.10532150776053215,0.453125,,0.21659936976800023,0.99375,0.23076923076923078,0.0,1,0.2800485757226742,0,150
407,793,85989584,37,958464,Absent,39,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,19,13,Unicorn_Absent,-1,-1.0,9,-26,0.91875,27.0,1.0,42.0,0.10532150776053215,0.453125,,0.21659936976800023,0.91875,0.1891891891891892,0.10532150776053215,13,0.21659936976800023,0,150
409,803,85989584,42,958464,Absent,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,9,-81,0.9625,17.0,0.2222222222222222,32.0,0.0,0.40625,,0.2800485757226742,0.91875,1.0,0.10532150776053215,13,0.21659936976800023,0,150
