level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
55,0,10155995,56,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,55,0,21.992751180040457,21.992751180040457,405,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,1.0,0.0,11.0,0.023714766002371646
56,0,10155995,57,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,56,0,21.992751180040457,21.992751180040457,426,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,1.0,0.0,11.0,0.023714766002371646
57,0,10155995,58,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,57,0,21.992751180040457,21.992751180040457,447,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,1.0,0.0,11.0,0.023714766002371646
58,0,10155995,59,101598,Absent,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,,58,0,21.992751180040457,32.0,468,0.93125,14,1.0,46.0,0.0,0.546875,0.023714766002371646,0.93125,1.0,0.0,11.0,0.023714766002371646
60,0,10155995,1,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,60,0,21.992751180040457,21.992751180040457,12,0.875,33,,48.0,,0.4375,0.005537830714382473,,,,,
61,0,10155995,2,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,61,0,21.992751180040457,21.992751180040457,24,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,,,20.0,0.005537830714382473
62,0,10155995,3,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,62,0,21.992751180040457,27.0,36,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
65,0,10155995,6,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,65,0,21.992751180040457,21.992751180040457,48,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
66,0,10155995,7,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,66,0,21.992751180040457,19.0,60,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
68,0,10155995,9,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,68,0,21.992751180040457,21.992751180040457,72,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
69,0,10155995,10,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,69,0,21.992751180040457,22.0,84,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
71,0,10155995,12,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,RS,RS,71,0,21.992751180040457,21.992751180040457,96,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
72,0,10155995,13,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,72,0,21.992751180040457,-10.0,108,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
76,0,10155995,17,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,76,0,21.992751180040457,14.0,120,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
78,0,10155995,19,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,78,0,21.992751180040457,-84.0,132,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
80,0,10155995,21,599594,Absent,38,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,12,20,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,RS,RS,80,0,21.992751180040457,32.0,144,0.875,33,1.0,48.0,0.0,0.4375,0.005537830714382473,0.875,1.0,0.0,20.0,0.005537830714382473
