index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
845,28972937,3,293756,Absent,31,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1,9,-22,0.9375,26.0,1.0,39.0,0.0,0.453125,,,,,,,10,0.8
849,28972937,5,293756,Absent,31,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1,9,-74,0.9375,26.0,1.0,39.0,0.0,0.453125,,0.9375,1.0,0.0,10,,10,0.8
853,28972937,7,293756,Absent,48,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,29,3,Unicorn_Absent,-1,-1,9,-15,0.98125,33.0,0.2553191489361702,34.0,0.0,0.484375,,0.9375,1.0,0.0,10,,10,0.8
857,28972937,9,293756,Absent,44,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,9,23,Unicorn_Absent,-1,-1,9,24,0.85625,34.0,0.3958333333333333,50.0,0.0,0.421875,,0.98125,0.2553191489361702,0.0,3,,10,0.8
861,28972937,11,293756,Absent,44,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,9,23,Unicorn_Absent,-1,-1,9,60,0.85625,34.0,1.0,50.0,0.11363636363636362,0.421875,,0.85625,0.3958333333333333,0.0,23,,10,0.8
863,28972937,12,293756,Absent,44,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,9,23,Unicorn_Absent,-1,-1,9,69,0.85625,34.0,1.0,50.0,0.11363636363636362,0.421875,,0.85625,1.0,0.11363636363636362,23,,10,0.8
865,28972937,13,293756,Absent,44,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,9,23,Unicorn_Absent,-1,-1,9,78,0.85625,34.0,1.0,50.0,0.0,0.421875,,0.85625,1.0,0.11363636363636362,23,,10,0.8
869,28972937,15,293756,Absent,44,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,9,23,Unicorn_Absent,-1,-1,9,112,0.85625,34.0,1.0,50.0,0.0,0.421875,,0.85625,1.0,0.0,23,,10,0.8
871,28972937,16,293756,Absent,44,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,9,23,Unicorn_Absent,-1,-1,9,121,0.85625,34.0,1.0,50.0,0.02040816326530609,0.421875,,0.85625,1.0,0.0,23,,10,0.8
873,28972937,17,293756,Absent,44,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,9,23,Unicorn_Absent,-1,-1,9,130,0.85625,34.0,1.0,50.0,0.02040816326530609,0.421875,,0.85625,1.0,0.02040816326530609,23,,10,0.8
