index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
957,39892874,59,287473,Absent,37,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,12,20,Unicorn_Absent,-1,-1.0,9,197,0.875,28.0,0.3488372093023256,43.0,0.17784552845528456,0.359375,,0.8875,0.175,0.9565217391304348,18,,0.025,0.99
959,39892874,60,287473,Absent,37,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,28,4,Unicorn_Absent,-1,-1.0,9,225,0.975,28.0,1.0,35.0,0.17784552845528456,0.484375,,0.875,0.3488372093023256,0.17784552845528456,20,,0.025,0.99
840,39892874,1,398904,Absent,36,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,25,7,Unicorn_Absent,-1,-1.0,0,25,0.95625,28.0,1.0,35.0,1.0,0.4375,RS,,,,,,0.025,0.99
842,39892874,2,398904,Absent,45,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,17,15,Unicorn_Absent,-1,-1.0,0,42,0.90625,32.0,0.36363636363636365,41.0,1.0,0.40625,RS,0.95625,1.0,1.0,7,RS,0.025,0.99
850,39892874,6,398904,Absent,29,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,32,0,Unicorn_Absent,-1,-1.0,0,-53,1.0,21.0,0.2926829268292683,21.0,0.1702127659574468,0.328125,RS,0.90625,0.36363636363636365,1.0,15,RS,0.025,0.99
852,39892874,7,398904,Absent,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,Unicorn_Absent,-1,-1.0,0,-23,0.9875,6.0,0.038461538461538464,39.0,0.1702127659574468,0.578125,RS,1.0,0.2926829268292683,0.1702127659574468,0,RS,0.025,0.99
854,39892874,8,398904,Absent,32,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,14,18,Unicorn_Absent,-1,-1.0,0,-9,0.8875,27.0,0.03125,44.0,0.03313840155945419,0.40625,RS,0.9875,0.038461538461538464,0.1702127659574468,2,RS,0.025,0.99
860,39892874,11,398904,Absent,58,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,31,1,Unicorn_Absent,-1,-1.0,0,86,0.99375,40.0,0.34,43.0,0.03313840155945419,0.65625,RS,0.8875,0.03125,0.03313840155945419,18,RS,0.025,0.99
862,39892874,12,398904,Absent,58,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,13,19,Unicorn_Absent,-1,-1.0,0,99,0.88125,40.0,1.0,50.0,0.9230769230769231,0.484375,RS,0.99375,0.34,0.03313840155945419,1,RS,0.025,0.99
864,39892874,13,398904,Absent,49,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,17,15,Unicorn_Absent,-1,-1.0,0,116,0.90625,34.0,0.37037037037037035,45.0,0.9230769230769231,0.46875,RS,0.88125,1.0,0.9230769230769231,19,RS,0.025,0.99
866,39892874,14,398904,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,146,0.9875,3.0,0.05714285714285714,20.0,1.0,0.28125,RS,0.90625,0.37037037037037035,0.9230769230769231,15,RS,0.025,0.99
878,39892874,20,398904,Absent,61,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,21,11,Unicorn_Absent,-1,-1.0,0,205,0.93125,42.0,0.07142857142857142,52.0,1.0,0.640625,RS,0.9875,0.05714285714285714,1.0,2,RS,0.025,0.99
884,39892874,23,398904,Absent,22,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,24,8,Unicorn_Absent,-1,-1.0,0,189,0.95,18.0,0.25,31.0,0.04334365325077398,0.359375,RS,0.93125,0.07142857142857142,1.0,11,RS,0.025,0.99
886,39892874,24,398904,Absent,22,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,29,3,Unicorn_Absent,-1,-1.0,0,218,0.98125,18.0,1.0,18.0,0.04334365325077398,0.234375,RS,0.95,0.25,0.04334365325077398,8,RS,0.025,0.99
892,39892874,27,398904,Absent,43,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,21,11,Unicorn_Absent,-1,-1.0,0,196,0.93125,32.0,0.21951219512195122,43.0,0.08262108262108264,0.5,RS,0.98125,1.0,0.04334365325077398,3,RS,0.025,0.99
898,39892874,30,398904,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,185,1.0,0.0,0.0,22.0,0.08262108262108264,0.34375,RS,0.93125,0.21951219512195122,0.08262108262108264,11,RS,0.025,0.99
906,39892874,34,398904,Absent,21,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,27,5,Unicorn_Absent,-1,-1.0,0,199,0.96875,18.0,0.0,46.0,0.037037037037037035,0.640625,RS,1.0,0.0,0.08262108262108264,0,RS,0.025,0.99
918,39892874,40,398904,Absent,45,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,17,15,Unicorn_Absent,-1,-1.0,0,49,0.90625,30.0,0.2631578947368421,52.0,0.037037037037037035,0.578125,RS,0.96875,0.0,0.037037037037037035,5,RS,0.025,0.99
