index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
3265,26554897,13,489700,Absent,50,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,12,20,Unicorn_Absent,-1,-1,9,-6,0.875,33.0,0.2727272727272727,47.0,0.96875,0.421875,,0.925,1.0,0.8947368421052632,12,,0.025,70
3269,26554897,15,489700,Absent,41,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,16,16,Unicorn_Absent,-1,-1,9,-70,0.9,34.0,0.28846153846153844,52.0,0.96875,0.5625,,0.875,0.2727272727272727,0.96875,20,,0.025,70
3271,26554897,16,489700,Absent,41,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,16,16,Unicorn_Absent,-1,-1,9,-54,0.9,34.0,1.0,52.0,0.3076923076923077,0.5625,,0.9,0.28846153846153844,0.96875,16,,0.025,70
3273,26554897,17,489700,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1,4,-38,0.9,32.0,0.29411764705882354,50.0,0.3076923076923077,0.53125,UP,0.9,1.0,0.3076923076923077,16,,0.025,70
3275,26554897,18,489700,Absent,61,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,10,22,Unicorn_Absent,-1,-1,9,-28,0.8625,41.0,0.40384615384615385,53.0,0.10459183673469385,0.484375,,0.9,0.29411764705882354,0.3076923076923077,16,UP,0.025,70
3277,26554897,19,489700,Absent,61,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,10,22,Unicorn_Absent,-1,-1,9,-18,0.8625,41.0,1.0,53.0,0.10459183673469385,0.484375,,0.8625,0.40384615384615385,0.10459183673469385,22,,0.025,70
3283,26554897,22,489700,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,14,18,Unicorn_Absent,-1,-1,6,30,0.8875,32.0,0.43137254901960786,48.0,0.0,0.46875,RIGHT,0.8625,1.0,0.10459183673469385,22,,0.025,70
3289,26554897,25,489700,Absent,52,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,29,3,Unicorn_Absent,-1,-1,9,111,0.98125,34.0,0.29411764705882354,34.0,0.0,0.484375,,0.8875,0.43137254901960786,0.0,18,RIGHT,0.025,70
3297,26554897,29,489700,Absent,39,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,9,25,0.96875,29.0,0.3695652173913043,34.0,0.6666666666666667,0.453125,,0.98125,0.29411764705882354,0.0,3,,0.025,70
3299,26554897,30,489700,Absent,39,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,9,52,0.96875,29.0,1.0,34.0,0.6666666666666667,0.453125,,0.96875,0.3695652173913043,0.6666666666666667,5,,0.025,70
