index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
4005,89508867,23,886756,Absent,38,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,24,8,Unicorn_Absent,-1,-1.0,9,154,0.95,27.0,0.2558139534883721,36.0,0.0,0.4375,,0.9375,0.3,0.0,10,,[0.025],[0.95]
4013,89508867,27,886756,Absent,44,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,26,6,Unicorn_Absent,-1,-1.0,9,274,0.9625,34.0,0.35555555555555557,39.0,0.8478260869565217,0.515625,,0.95,0.2558139534883721,0.0,8,,[0.025],[0.95]
4015,89508867,28,886756,Absent,44,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,26,6,Unicorn_Absent,-1,-1.0,9,300,0.9625,34.0,1.0,39.0,0.8478260869565217,0.515625,,0.9625,0.35555555555555557,0.8478260869565217,6,,[0.025],[0.95]
4017,89508867,29,886756,Absent,44,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,27,5,Unicorn_Absent,-1,-1.0,9,327,0.96875,34.0,1.0,37.0,0.2920696324951644,0.5,,0.9625,1.0,0.8478260869565217,6,,[0.025],[0.95]
4021,89508867,31,886756,Absent,63,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,29,3,Unicorn_Absent,-1,-1.0,9,387,0.98125,38.0,0.3584905660377358,43.0,0.2920696324951644,0.625,,0.96875,1.0,0.2920696324951644,5,,[0.025],[0.95]
4023,89508867,32,886756,Absent,63,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,25,7,Unicorn_Absent,-1,-1.0,9,412,0.95625,38.0,1.0,43.0,0.725,0.5625,,0.98125,0.3584905660377358,0.2920696324951644,3,,[0.025],[0.95]
4025,89508867,33,886756,Absent,63,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,13,19,Unicorn_Absent,-1,-1.0,9,425,0.88125,38.0,1.0,51.0,0.725,0.5,,0.95625,1.0,0.725,7,,[0.025],[0.95]
4035,89508867,38,886756,Absent,25,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,26,6,Unicorn_Absent,-1,-1.0,9,349,0.9625,20.0,0.38095238095238093,36.0,0.7,0.46875,,0.88125,1.0,0.725,19,,[0.025],[0.95]
4039,89508867,40,886756,Absent,25,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,26,6,Unicorn_Absent,-1,-1.0,9,305,0.9625,20.0,1.0,36.0,0.7,0.46875,,0.9625,0.38095238095238093,0.7,6,,[0.025],[0.95]
4043,89508867,42,886756,Absent,46,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,19,13,Unicorn_Absent,-1,-1.0,9,258,0.91875,31.0,0.275,43.0,0.04974160206718348,0.46875,,0.9625,1.0,0.7,6,,[0.025],[0.95]
