index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Category1,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
1102,19127246,12,191255,Absent,39,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,21,11,Unicorn_Absent,-1,-1.0,0,196,0.93125,31.0,0.0,42.0,0.11274014155712841,0.484375,RS,RS,0.005537830714382473,1.0,1.0,0.11274014155712841,0,0.36787944117144233
1104,19127246,13,191255,Absent,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,28,4,Unicorn_Absent,-1,-1.0,0,224,0.975,10.0,0.10810810810810811,36.0,0.22857142857142856,0.5,RS,RS,0.04232921962320499,0.93125,0.0,0.11274014155712841,11,0.005537830714382473
1114,19127246,18,191255,Absent,48,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,30,2,Unicorn_Absent,-1,-1.0,0,254,0.9875,32.0,0.2,33.0,0.22857142857142856,0.484375,RS,RS,0.0061027272741740034,0.975,0.10810810810810811,0.22857142857142856,4,0.04232921962320499
1116,19127246,19,191255,Absent,48,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,30,2,Unicorn_Absent,-1,-1.0,0,284,0.9875,32.0,1.0,33.0,0.058823529411764705,0.484375,RS,RS,0.0061027272741740034,0.9875,0.2,0.22857142857142856,2,0.0061027272741740034
1122,19127246,22,191255,Absent,48,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,30,2,Unicorn_Absent,-1,-1.0,0,314,0.9875,32.0,1.0,33.0,0.058823529411764705,0.484375,RS,RS,0.0061027272741740034,0.9875,1.0,0.058823529411764705,2,0.0061027272741740034
1124,19127246,23,191255,Absent,48,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,30,2,Unicorn_Absent,-1,-1.0,0,344,0.9875,32.0,1.0,33.0,0.0,0.484375,RS,RS,0.0061027272741740034,0.9875,1.0,0.058823529411764705,2,0.0061027272741740034
1128,19127246,25,191255,Absent,48,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,30,2,Unicorn_Absent,-1,-1.0,0,374,0.9875,32.0,1.0,33.0,0.0,0.484375,RS,RS,0.0061027272741740034,0.9875,1.0,0.0,2,0.0061027272741740034
1132,19127246,27,191255,Absent,26,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,15,17,Unicorn_Absent,-1,-1.0,0,389,0.89375,21.0,0.2619047619047619,44.0,0.2,0.421875,RS,RS,0.010228516799093708,0.9875,1.0,0.0,2,0.0061027272741740034
1136,19127246,29,191255,Absent,57,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,419,0.9875,36.0,0.2391304347826087,39.0,0.2,0.578125,RS,RS,0.0061027272741740034,0.89375,0.2619047619047619,0.2,17,0.010228516799093708
1142,19127246,32,191255,Absent,57,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,449,0.9875,36.0,1.0,39.0,0.12998712998712997,0.578125,RS,RS,0.0061027272741740034,0.9875,0.2391304347826087,0.2,2,0.0061027272741740034
1144,19127246,33,191255,Absent,57,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,30,2,Unicorn_Absent,-1,-1.0,0,479,0.9875,36.0,1.0,39.0,0.12998712998712997,0.578125,RS,RS,0.0061027272741740034,0.9875,1.0,0.12998712998712997,2,0.0061027272741740034
