level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
1540,3056,55228029,29,552251,Absent,49,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,-2,34,Unicorn_Absent,-1,-1,0,-249,0.7875,34.0,0.53125,64.0,0.5800000000000001,0.46875,RS,0.16951329224194475,0.8625,0.4375,0.5800000000000001,22,0.0924417853680727,0.05,0
1542,3060,55228029,31,552251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1,6,-205,0.9,32.0,0.29411764705882354,48.0,0.2766439909297052,0.5,RIGHT,0.17389813739634405,0.7875,0.53125,0.5800000000000001,34,0.16951329224194475,0.05,0
1544,3062,55228029,32,552251,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1,8,-189,0.9,28.0,0.30434782608695654,39.0,0.2766439909297052,0.359375,OUT,0.2103787656745015,0.9,0.29411764705882354,0.2766439909297052,16,0.17389813739634405,0.05,0
1546,3066,55228029,34,552251,Absent,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,32,0,Unicorn_Absent,-1,-1,0,-127,1.0,26.0,0.22727272727272727,26.0,0.3333333333333333,0.40625,RS,0.20444612479589325,0.9,0.30434782608695654,0.2766439909297052,16,0.2103787656745015,0.05,0
1548,3068,55228029,35,552251,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1,3,-111,0.9,32.0,0.3181818181818182,52.0,0.3333333333333333,0.5625,DOWN,0.17389813739634405,1.0,0.22727272727272727,0.3333333333333333,0,0.20444612479589325,0.05,0
1550,3084,55228029,43,552251,Absent,17,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,18,14,Unicorn_Absent,-1,-1,0,-171,0.9125,14.0,0.1794871794871795,64.0,0.054263565891472854,0.78125,RS,0.30119421191220214,0.9,0.3181818181818182,0.3333333333333333,16,0.17389813739634405,0.05,0
1552,3094,55228029,48,552251,Absent,32,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,-350,0.98125,24.0,0.1875,30.0,0.054263565891472854,0.421875,RS,0.22313016014842982,0.9125,0.1794871794871795,0.054263565891472854,14,0.30119421191220214,0.05,0
1554,3096,55228029,49,552251,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,8,-318,1.0,28.0,0.3684210526315789,28.0,0.8571428571428572,0.4375,OUT,0.2103787656745015,0.98125,0.1875,0.054263565891472854,3,0.22313016014842982,0.05,0
1556,3098,55228029,50,552251,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1,4,-318,0.8,32.0,0.30434782608695654,64.0,0.8571428571428572,0.5,UP,0.18818508442027443,1.0,0.3684210526315789,0.8571428571428572,0,0.2103787656745015,0.05,0
1558,3100,55228029,51,552251,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1,8,-304,0.8875,28.0,0.30434782608695654,49.0,0.09005628517823638,0.484375,OUT,0.2103787656745015,0.8,0.30434782608695654,0.8571428571428572,32,0.18818508442027443,0.05,0
1560,3104,55228029,53,552251,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,-263,0.8875,36.0,0.0,50.0,0.09005628517823638,0.5,IN,0.15734346296411772,0.8875,0.30434782608695654,0.09005628517823638,18,0.2103787656745015,0.05,0
1562,3110,55228029,56,552251,Absent,24,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,21,11,Unicorn_Absent,-1,-1,0,-386,0.93125,20.0,0.2727272727272727,39.0,0.6875,0.4375,RS,0.2528970706306086,0.8875,0.0,0.09005628517823638,18,0.15734346296411772,0.05,0
1564,3112,55228029,57,552251,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,16,16,Unicorn_Absent,-1,-1,6,-370,0.9,32.0,0.18181818181818182,46.0,0.6875,0.46875,RIGHT,0.17389813739634405,0.93125,0.2727272727272727,0.6875,11,0.2528970706306086,0.05,0
1566,3114,55228029,58,552251,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,Unicorn_Absent,-1,-1,4,-357,0.88125,32.0,0.3333333333333333,43.0,0.5625,0.375,UP,0.18818508442027443,0.9,0.18181818181818182,0.6875,16,0.17389813739634405,0.05,0
1568,3116,55228029,59,552251,Absent,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28,4,Unicorn_Absent,-1,-1,0,-329,0.975,8.0,0.1111111111111111,34.0,0.5625,0.46875,RS,0.387250581508453,0.88125,0.3333333333333333,0.5625,19,0.18818508442027443,0.05,0
1511,3003,55228029,2,802925,Absent,41,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,15,17,Unicorn_Absent,-1,-1,9,-66,0.89375,34.0,1.0,49.0,0.1875,0.5,,0.17846392590418705,,,,,,0.05,0
1513,3013,55228029,7,802925,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,Unicorn_Absent,-1,-1,4,-375,0.89375,32.0,0.3469387755102041,47.0,0.1875,0.46875,UP,0.18818508442027443,0.89375,1.0,0.1875,17,0.17846392590418705,0.05,0
1515,3017,55228029,9,802925,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,9,-321,1.0,0.0,0.0,0.0,0.20588235294117646,0.0,,0.6542510918525355,0.89375,0.3469387755102041,0.1875,17,0.18818508442027443,0.05,0
