level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
2427,4989,13344249,35,424936,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,410,1.0,0.0,0.0,32.0,0.0,0.5,NOTHING,0.6542510918525355,0.9,1.0,0.0,16,0.17389813739634405,0,1
2429,4993,13344249,37,424936,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,378,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,0.6542510918525355,1.0,0.0,0.0,0,0.6542510918525355,0,1
2431,4995,13344249,38,424936,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,410,1.0,32.0,0.0,32.0,0.0,0.5,UP,0.18818508442027443,1.0,1.0,0.0,0,0.6542510918525355,0,1
2433,4999,13344249,40,424936,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,14,18,Unicorn_Absent,-1,-1.0,5,360,0.8875,32.0,0.3333333333333333,50.0,0.0,0.5,LEFT,0.18818508442027443,1.0,0.0,0.0,0,0.18818508442027443,0,1
2435,5003,13344249,42,424936,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,312,0.9,32.0,0.3333333333333333,48.0,0.0,0.5,DOWN,0.17389813739634405,0.8875,0.3333333333333333,0.0,18,0.18818508442027443,0,1
2437,5005,13344249,43,424936,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,8,330,0.9125,28.0,0.30434782608695654,46.0,0.30434782608695654,0.5,OUT,0.2103787656745015,0.9,0.3333333333333333,0.0,16,0.17389813739634405,0,1
2439,5017,13344249,49,424936,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,278,1.0,0.0,0.0,0.0,0.30434782608695654,0.0,NOTHING,0.6542510918525355,0.9125,0.30434782608695654,0.30434782608695654,14,0.2103787656745015,0,1
2441,5019,13344249,50,424936,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,310,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,0.6542510918525355,1.0,0.0,0.30434782608695654,0,0.6542510918525355,0,1
2443,5021,13344249,51,424936,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,342,1.0,0.0,1.0,0.0,0.0,0.0,NOTHING,0.6542510918525355,1.0,1.0,0.0,0,0.6542510918525355,0,1
2445,5023,13344249,52,424936,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,3,374,1.0,32.0,0.0,64.0,0.30434782608695654,1.0,DOWN,0.17389813739634405,1.0,1.0,0.0,0,0.6542510918525355,0,1
