index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Category1,RegionGo,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Similarity_LAG1
0,90578145,19,905787,Absent,23,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,162,0.9625,17,0.225,39.0,0.2125,0.515625,0.016194143319162562,0.8,0.0,0.5625,32.0,1.0
0,90578145,21,905787,Absent,45,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,12,20,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,174,0.875,35,0.23809523809523808,46.0,0.07301587301587303,0.40625,0.004584084770106734,0.9625,0.225,0.2125,6.0,0.016194143319162562
0,90578145,22,905787,Absent,45,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,11,21,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,185,0.86875,35,1.0,53.0,0.7272727272727273,0.5,0.004584084770106734,0.875,0.23809523809523808,0.07301587301587303,20.0,0.004584084770106734
0,90578145,23,905787,Absent,45,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,27,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,212,0.96875,35,1.0,36.0,0.9285714285714286,0.484375,0.004584084770106734,0.86875,1.0,0.7272727272727273,21.0,0.004584084770106734
0,90578145,24,905787,Absent,62,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,28,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,RS,240,0.975,38,0.40384615384615385,40.0,0.5961538461538461,0.5625,0.0061027272741740034,0.96875,1.0,0.9285714285714286,5.0,0.004584084770106734
0,90578145,29,905787,Absent,46,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,17,15,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,257,0.90625,28,0.40425531914893614,44.0,0.31602002503128906,0.453125,0.007454186295369829,0.975,0.40384615384615385,0.5961538461538461,4.0,0.0061027272741740034
0,90578145,30,905787,Absent,23,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,23,9,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,RS,NOTHING,280,0.94375,19,0.23684210526315788,38.0,0.07426900584795323,0.453125,0.012792465124422179,0.90625,0.40425531914893614,0.31602002503128906,15.0,0.007454186295369829
0,90578145,34,905787,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,NOTHING,IN,312,1.0,0,0.0,13.0,0.1388888888888889,0.203125,1.0,0.94375,0.23684210526315788,0.07426900584795323,9.0,0.012792465124422179
0,90578145,36,905787,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,IN,IN,RS,344,1.0,36,0.0,36.0,0.0,0.5625,1.0,1.0,0.0,0.1388888888888889,0.0,1.0
0,90578145,40,905787,Absent,24,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,RS,RS,364,0.925,18,0.22727272727272727,46.0,0.22727272727272727,0.53125,0.01436959609043909,1.0,0.0,0.0,0.0,1.0
