index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
4546,7306646373,47,730667,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,19.0,13,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,245,0.91875,18.0,OUT,4546,0,19.0,26.0,28,0.32558139534883723,45,0.00643245917862445,0.5,14.0,0.8875,0.2708333333333333,0.2708333333333333,RS,RS,RS
4550,7306646373,51,730667,Absent,29,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,21.0,11,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,343,0.93125,1.0,RS,4550,0,21.0,24.0,23,0.21428571428571427,44,0.1634920634920635,0.515625,19.0,0.91875,0.32558139534883723,0.00643245917862445,OUT,RS,RS
4551,7306646373,52,730667,Absent,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,24.0,8,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,367,0.95,11.0,RS,4551,0,24.0,18.0,20,0.2647058823529412,40,0.03964194373401536,0.5,21.0,0.93125,0.21428571428571427,0.1634920634920635,RS,RS,RS
4552,7306646373,53,730667,Absent,19,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,18.0,14,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,385,0.9125,8.0,RS,4552,0,18.0,25.0,17,0.23333333333333334,39,0.23333333333333334,0.390625,24.0,0.95,0.2647058823529412,0.03964194373401536,RS,RS,OUT
4553,7306646373,54,730667,Absent,33,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,25.0,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,410,0.95625,14.0,RS,4553,0,25.0,27.0,29,0.1794871794871795,45,0.04967948717948717,0.59375,18.0,0.9125,0.23333333333333334,0.23333333333333334,RS,OUT,LEFT
4558,7306646373,59,730667,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18.0,14,Unicorn_Absent,-1,-1.0,8,Unicorn_Absent,536,0.9125,9.0,OUT,4558,0,18.0,14.0,28,0.32558139534883723,46,0.10335917312661502,0.5,25.0,0.95625,0.1794871794871795,0.04967948717948717,RS,LEFT,
4559,7306646373,60,730667,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,14.0,18,Unicorn_Absent,-1,-1.0,5,,550,0.8875,14.0,LEFT,4559,0,14.0,,32,0.30434782608695654,46,0.028985507246376774,0.4375,18.0,0.9125,0.32558139534883723,0.10335917312661502,OUT,,
4560,7316118852,1,18852,Absent,41,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,21.0,11,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,21,0.93125,,RS,4560,0,21.0,25.0,29,,41,,0.46875,,,,,,RS,RS
4564,7316118852,5,18852,Absent,31,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,27.0,5,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,123,0.96875,3.0,RS,4564,0,27.0,-64.0,28,0.32558139534883723,43,0.16341923318667506,0.59375,21.0,0.93125,,,RS,RS,RS
4566,7316118852,7,18852,Absent,26,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23.0,9,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,82,0.94375,0.0,RS,4566,0,23.0,31.0,20,0.17073170731707318,39,0.029268292682926828,0.46875,27.0,0.96875,0.32558139534883723,0.16341923318667506,RS,RS,RS
4568,7316118852,9,18852,Absent,30,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,20.0,12,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,133,0.925,1.0,RS,4568,0,20.0,29.0,24,0.1891891891891892,44,0.11515863689776734,0.5,23.0,0.94375,0.17073170731707318,0.029268292682926828,RS,RS,RS
4570,7316118852,11,18852,Absent,15,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27.0,5,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,189,0.96875,3.0,RS,4570,0,27.0,24.0,14,0.35714285714285715,31,0.12987012987012989,0.40625,20.0,0.925,0.1891891891891892,0.11515863689776734,RS,RS,RS
4571,7316118852,12,18852,Absent,32,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,24.0,8,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,213,0.95,5.0,RS,4571,0,24.0,22.0,23,0.1935483870967742,35,0.006451612903225823,0.421875,27.0,0.96875,0.35714285714285715,0.12987012987012989,RS,RS,RIGHT
4572,7316118852,13,18852,Absent,51,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,22.0,10,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,235,0.9375,8.0,RS,4572,0,22.0,-75.0,34,0.2127659574468085,46,0.1872340425531915,0.5625,24.0,0.95,0.1935483870967742,0.006451612903225823,RS,RIGHT,RIGHT
