index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1,Alpha
0,1490314743,12,149038,Absent,32,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,26,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-104,0.9625,1.0,RS,23,0.275,34,0.019117647058823517,0.375,0.359375,31.0,0.99375,0.13513513513513514,0.1863247863247863,RS,RS,RS,0.4375,1
0,1490314743,13,149038,Absent,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,21,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-83,0.93125,6.0,RS,19,0.13513513513513514,33,0.007722007722007707,0.4375,0.296875,26.0,0.9625,0.18421052631578946,0.019117647058823517,RS,RS,RS,0.359375,1
0,1490314743,14,149038,Absent,32,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,-76,8,Unicorn_Present,7,1.0,0,Unicorn_Present,-159,0.325,11.0,RS,26,0.18421052631578946,40,0.07610241820768135,0.5,0.40625,21.0,0.93125,0.1388888888888889,0.007722007722007707,RS,RS,RS,0.296875,1
0,1490314743,15,149038,Absent,33,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-76,5,Unicorn_Present,0,6.0,0,Unicorn_Absent,-235,0.325,12.0,RS,15,0.1388888888888889,33,0.07732732732732733,0.4375,0.3055555555555556,-76.0,0.325,0.18518518518518517,0.07610241820768135,RS,RS,RS,0.40625,1
0,1490314743,16,149038,Absent,32,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,20,5,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-215,0.925,12.0,RS,17,0.18518518518518517,31,0.07992202729044834,0.40625,0.265625,-76.0,0.325,0.09375,0.07732732732732733,RS,RS,RS,0.3055555555555556,1
0,1490314743,17,149038,Absent,32,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,24,7,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,-191,0.95,12.0,RS,18,0.09375,34,0.1789772727272727,0.421875,0.3142857142857143,20.0,0.925,0.38235294117647056,0.07992202729044834,RS,RS,RS,0.265625,1
0,1490314743,18,149038,Absent,32,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,23,10,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-168,0.94375,8.0,RS,29,0.38235294117647056,37,0.27424483306836245,0.421875,0.453125,24.0,0.95,0.17777777777777778,0.1789772727272727,RS,RS,RS,0.3142857142857143,1
0,1490314743,19,149038,Present,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,32,11,Unicorn_Present,0,1.0,0,Unicorn_Present,-136,1.0,9.0,RS,24,0.17777777777777778,43,0.007046070460704601,0.5,0.375,23.0,0.94375,0.2564102564102564,0.27424483306836245,RS,RS,RS,0.453125,1
0,1490314743,20,149038,Absent,32,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-74,7,Unicorn_Present,1,7.0,0,Unicorn_Absent,-210,0.3375,0.0,RS,25,0.2564102564102564,39,0.018589743589743635,0.5,0.390625,32.0,1.0,0.16279069767441862,0.007046070460704601,RS,RS,RS,0.375,1
0,1490314743,21,149038,Absent,32,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,21,13,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,-189,0.93125,10.0,RS,25,0.16279069767441862,34,0.0006285355122564451,0.328125,0.390625,-74.0,0.3375,0.16666666666666666,0.018589743589743635,RS,RS,RS,0.390625,1
