index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2,Similarity_LAG1
0,973396298,32,6298,Present,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,16,Unicorn_Present,2,7.0,1,Unicorn_Present,188,0.975,11.0,ALL,64,0.375,64,0.14642857142857144,0.75,1.0,21.0,0.93125,1.0,0.07251153592617007,RS,ALL,ALL,0.3953488372093023
0,973396298,33,6298,Present,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,25,Unicorn_Present,0,0.0,1,Unicorn_Present,220,1.0,4.0,ALL,64,1.0,64,0.8611111111111112,0.609375,1.0,28.0,0.975,1.0,0.14642857142857144,ALL,ALL,ALL,1.0
0,973396298,34,6298,Present,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,27,Unicorn_Present,4,2.0,1,Unicorn_Absent,245,0.95625,0.0,ALL,64,1.0,64,0.7,0.578125,1.0,32.0,1.0,1.0,0.8611111111111112,ALL,ALL,ALL,1.0
0,973396298,35,6298,Absent,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,25,Unicorn_Absent,-1,-1.0,1,Unicorn_Absent,254,0.85625,7.0,ALL,64,1.0,64,0.7906976744186046,0.609375,1.0,25.0,0.95625,1.0,0.7,ALL,ALL,NOTHING,1.0
0,973396298,36,6298,Absent,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-10,64,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,244,0.7375,23.0,ALL,64,1.0,64,0.609375,0.0,1.0,9.0,0.85625,0.0,0.7906976744186046,ALL,NOTHING,NOTHING,1.0
0,973396298,37,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,2,4.0,2,Unicorn_Absent,180,0.4,42.0,NOTHING,0,0.0,0,0.0,0.0,1.0,-10.0,0.7375,1.0,0.609375,ALL,NOTHING,RS,1.0
0,973396298,38,6298,Absent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,212,1.0,0.0,NOTHING,0,1.0,0,0.0,0.0,1.0,-64.0,0.4,0.0,0.0,NOTHING,RS,RS,1.0
0,973396298,39,6298,Present,29,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,25,12,Unicorn_Present,5,4.0,0,Unicorn_Present,237,0.95625,0.0,RS,28,0.0,46,0.0,0.53125,0.4375,32.0,1.0,0.16666666666666666,0.0,NOTHING,RS,RS,1.0
0,973396298,40,6298,Absent,32,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-75,8,Unicorn_Present,3,7.0,0,Unicorn_Present,162,0.33125,7.0,RS,21,0.16666666666666666,34,0.10833333333333336,0.40625,0.35714285714285715,25.0,0.95625,0.16666666666666666,0.0,RS,RS,RS,0.4375
0,973396298,41,6298,Absent,32,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,-76,8,Unicorn_Present,3,2.0,0,Unicorn_Present,86,0.325,11.0,RS,28,0.16666666666666666,40,0.0392156862745098,0.5,0.4634146341463415,-75.0,0.33125,0.358974358974359,0.10833333333333336,RS,RS,RS,0.35714285714285715
