index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo
0,471537175,41,7175,Absent,40,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,17,15,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,110,0.90625,26,0.0,46.0,1.0,0.484375,0.4,1.0,0.7727272727272727,0.0,NOTHING
0,471537175,42,7175,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,1,6.0,2,Unicorn_Absent,NOTHING,142,1.0,0,0.0,18.0,0.358974358974359,0.28125,0.90625,0.0,1.0,15.0,NOTHING
0,471537175,43,7175,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,174,1.0,0,1.0,32.0,0.4375,0.5,1.0,0.0,0.358974358974359,0.0,NOTHING
0,471537175,44,7175,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,6,5.0,2,Unicorn_Absent,NOTHING,206,1.0,0,1.0,15.0,0.53125,0.234375,1.0,1.0,0.4375,0.0,NOTHING
0,471537175,45,7175,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,238,1.0,0,1.0,32.0,0.53125,0.5,1.0,1.0,0.53125,0.0,NOTHING
0,471537175,46,7175,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,5,1.0,2,Unicorn_Absent,NOTHING,174,0.4,0,1.0,32.0,0.0,0.5,1.0,1.0,0.53125,0.0,RS
0,471537175,47,7175,Absent,49,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,18,14,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,RS,192,0.9125,36,0.0,50.0,0.30434782608695654,0.5625,0.4,1.0,0.0,0.0,RS
0,471537175,48,7175,Absent,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,27,5,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,RS,219,0.96875,8,0.1282051282051282,31.0,0.8717948717948718,0.40625,0.9125,0.0,0.30434782608695654,14.0,RS
0,471537175,49,7175,Present,45,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,19,13,Unicorn_Present,4,5.0,9,Unicorn_Present,RS,238,0.91875,34,0.07692307692307693,49.0,0.9230769230769231,0.5625,0.96875,0.1282051282051282,0.8717948717948718,5.0,RS
0,471537175,50,7175,Present,28,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,30,2,Unicorn_Present,3,0.0,9,Unicorn_Absent,RS,268,0.9875,23,0.6764705882352942,23.0,0.6419878296146045,0.328125,0.91875,0.07692307692307693,0.9230769230769231,13.0,RS
