index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
2017,30273564,49,356453,Absent,46,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,10,22,Unicorn_Absent,-1,-1.0,9,621,0.8625,34.0,1.0,51.0,0.11480075901328274,0.453125,,0.8625,1.0,0.11480075901328274,22,,0.5,0.2
2027,30273564,54,356453,Absent,24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,23,9,Unicorn_Absent,-1,-1.0,9,555,0.94375,19.0,0.20454545454545456,40.0,0.07692307692307693,0.484375,,0.8625,1.0,0.11480075901328274,22,,0.5,0.2
2035,30273564,58,356453,Absent,14,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,31,1,Unicorn_Absent,-1,-1.0,9,569,0.99375,13.0,0.03225806451612903,21.0,0.07692307692307693,0.3125,,0.94375,0.20454545454545456,0.07692307692307693,9,,0.5,0.2
2037,30273564,59,356453,Absent,36,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,600,0.99375,29.0,0.07692307692307693,30.0,0.2564102564102564,0.453125,,0.99375,0.03225806451612903,0.07692307692307693,1,,0.5,0.2
2039,30273564,60,356453,Absent,22,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,30,2,Unicorn_Absent,-1,-1.0,9,630,0.9875,20.0,0.2564102564102564,23.0,0.2564102564102564,0.328125,,0.99375,0.07692307692307693,0.2564102564102564,1,,0.5,0.2
1084,33557647,3,335575,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,0,-96,1.0,0.0,1.0,18.0,0.0,0.28125,RS,,,,,,0.5,0.2
1088,33557647,5,335575,Absent,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,-37,0.9875,4.0,0.0,34.0,0.0,0.5,RS,1.0,1.0,0.0,0,RS,0.5,0.2
1094,33557647,8,335575,Absent,50,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,12,20,Unicorn_Absent,-1,-1.0,0,12,0.875,34.0,0.05555555555555555,44.0,0.21951219512195122,0.375,RS,0.9875,0.0,0.0,2,RS,0.5,0.2
1096,33557647,9,335575,Absent,50,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,12,20,Unicorn_Absent,-1,-1.0,0,24,0.875,34.0,1.0,44.0,0.21951219512195122,0.375,RS,0.875,0.05555555555555555,0.21951219512195122,20,RS,0.5,0.2
1098,33557647,10,335575,Absent,50,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,12,20,Unicorn_Absent,-1,-1.0,0,36,0.875,34.0,1.0,44.0,0.2635933806146572,0.375,RS,0.875,1.0,0.21951219512195122,20,RS,0.5,0.2
