index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
2887,46973508,4,35088,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-4,36,Unicorn_Absent,-1,-1.0,7,-128,0.775,36.0,0.21739130434782608,64.0,0.0,0.4375,IN,0.9375,1.0,0.0,10,,0.05,150
2889,46973508,5,35088,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,7,-106,0.9375,36.0,1.0,50.0,0.28260869565217395,0.625,IN,0.775,0.21739130434782608,0.0,36,IN,0.05,150
2899,46973508,10,35088,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,22,10,Unicorn_Absent,-1,-1.0,5,-167,0.9375,32.0,0.36,41.0,0.28260869565217395,0.484375,LEFT,0.9375,1.0,0.28260869565217395,10,IN,0.05,150
2903,46973508,12,35088,Absent,51,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,15,17,Unicorn_Absent,-1,-1.0,9,-223,0.89375,36.0,0.2830188679245283,51.0,0.625,0.53125,,0.9375,0.36,0.28260869565217395,10,LEFT,0.05,150
2907,46973508,14,35088,Absent,38,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,15,17,Unicorn_Absent,-1,-1.0,9,-177,0.89375,31.0,0.2641509433962264,53.0,0.625,0.5625,,0.89375,0.2830188679245283,0.625,17,,0.05,150
2913,46973508,17,35088,Absent,58,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,12,20,Unicorn_Absent,-1,-1.0,9,-109,0.875,37.0,0.36,53.0,0.25743589743589745,0.515625,,0.89375,0.2641509433962264,0.625,17,,0.05,150
2921,46973508,21,35088,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,-182,1.0,32.0,0.40816326530612246,64.0,0.25743589743589745,1.0,UP,0.875,0.36,0.25743589743589745,20,,0.05,150
2923,46973508,22,35088,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,-150,1.0,32.0,1.0,64.0,0.05908639523336645,1.0,UP,1.0,0.40816326530612246,0.25743589743589745,0,UP,0.05,150
2927,46973508,24,35088,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,-86,1.0,32.0,1.0,64.0,0.05908639523336645,1.0,UP,1.0,1.0,0.05908639523336645,0,UP,0.05,150
2929,46973508,25,35088,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,4,-54,1.0,32.0,1.0,64.0,0.12800591934887162,1.0,UP,1.0,1.0,0.05908639523336645,0,UP,0.05,150
