index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
906,73675253,34,73678,Absent,24,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,73,0.96875,19.0,1.0,31.0,0.5018382352941176,0.40625,RS,0.96875,1.0,0.5018382352941176,5,RS,0.025,0.99
910,73675253,36,73678,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,20,Unicorn_Absent,-1,-1,7,117,0.875,36.0,0.1956521739130435,52.0,0.6382978723404256,0.5,IN,0.96875,1.0,0.5018382352941176,5,RS,0.025,0.99
912,73675253,37,73678,Absent,46,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,15,17,Unicorn_Absent,-1,-1,0,132,0.89375,31.0,0.3673469387755102,50.0,0.6382978723404256,0.515625,RS,0.875,0.1956521739130435,0.6382978723404256,20,IN,0.025,0.99
914,73675253,38,73678,Absent,46,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,15,17,Unicorn_Absent,-1,-1,0,147,0.89375,31.0,1.0,50.0,0.19791666666666669,0.515625,RS,0.89375,0.3673469387755102,0.6382978723404256,17,RS,0.025,0.99
916,73675253,39,73678,Absent,46,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,15,17,Unicorn_Absent,-1,-1,0,162,0.89375,31.0,1.0,50.0,0.19791666666666669,0.515625,RS,0.89375,1.0,0.19791666666666669,17,RS,0.025,0.99
926,73675253,44,73678,Absent,35,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,17,15,Unicorn_Absent,-1,-1,0,188,0.90625,29.0,0.36363636363636365,47.0,0.5416666666666667,0.5,RS,0.89375,1.0,0.19791666666666669,17,RS,0.025,0.99
936,73675253,49,73678,Absent,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,248,1.0,8.0,0.08823529411764706,17.0,0.5416666666666667,0.265625,RS,0.90625,0.36363636363636365,0.5416666666666667,15,RS,0.025,0.99
938,73675253,50,73678,Absent,31,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,20,12,Unicorn_Absent,-1,-1,0,268,0.925,27.0,0.12903225806451613,46.0,0.0,0.53125,RS,1.0,0.08823529411764706,0.5416666666666667,0,RS,0.025,0.99
940,73675253,51,73678,Absent,31,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,20,12,Unicorn_Absent,-1,-1,0,288,0.925,27.0,1.0,46.0,0.0,0.53125,RS,0.925,0.12903225806451613,0.0,12,RS,0.025,0.99
946,73675253,54,73678,Absent,37,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,15,17,Unicorn_Absent,-1,-1,0,365,0.89375,30.0,0.35714285714285715,41.0,0.607843137254902,0.375,RS,0.925,1.0,0.0,12,RS,0.025,0.99
