index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
5074,85797165,18,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,133,0.86875,46.0,1.0,52.0,0.0,0.484375,RS,0.86875,1.0,0.0,21,RS,10,1
5080,85797165,21,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,84,0.86875,46.0,1.0,52.0,0.0,0.484375,RS,0.86875,1.0,0.0,21,RS,10,1
5082,85797165,22,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,95,0.86875,46.0,1.0,52.0,0.0,0.484375,RS,0.86875,1.0,0.0,21,RS,10,1
5084,85797165,23,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,106,0.86875,46.0,1.0,52.0,0.0,0.484375,RS,0.86875,1.0,0.0,21,RS,10,1
5086,85797165,24,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,117,0.86875,46.0,1.0,52.0,0.09902597402597399,0.484375,RS,0.86875,1.0,0.0,21,RS,10,1
5090,85797165,26,857933,Absent,61,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,11,21,Unicorn_Absent,-1,-1.0,0,153,0.86875,46.0,1.0,52.0,0.09902597402597399,0.484375,RS,0.86875,1.0,0.09902597402597399,21,RS,10,1
5098,85797165,30,857933,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,0,153,0.99375,3.0,0.0425531914893617,13.0,0.0,0.1875,RS,0.86875,1.0,0.09902597402597399,21,RS,10,1
5104,85797165,33,857933,Absent,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,20,12,Unicorn_Absent,-1,-1.0,0,229,0.925,16.0,0.05555555555555555,38.0,0.0,0.40625,RS,0.99375,0.0425531914893617,0.0,1,RS,10,1
5108,85797165,35,857933,Absent,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,20,12,Unicorn_Absent,-1,-1.0,0,173,0.925,16.0,1.0,38.0,0.0,0.40625,RS,0.925,0.05555555555555555,0.0,12,RS,10,1
5110,85797165,36,857933,Absent,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,20,12,Unicorn_Absent,-1,-1.0,0,193,0.925,16.0,1.0,38.0,0.0,0.40625,RS,0.925,1.0,0.0,12,RS,10,1
5112,85797165,37,857933,Absent,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,20,12,Unicorn_Absent,-1,-1.0,0,213,0.925,16.0,1.0,38.0,0.0,0.40625,RS,0.925,1.0,0.0,12,RS,10,1
