"Dyad","Player","Region","RegionGo","RJcode","Score"
29349661,"293423","RS","RS","mqADJ",27
29349661,"293423","RS","RS","BV",30
29349661,"293423","RS","IN","BV",30
29349661,"293423","IN","RS","jklrstzABHIJPQRXYZ",14
29349661,"293423","RS","RS","dO9",29
29349661,"293423","RS","RS","dO9",29
29349661,"293423","RS","OUT","dO9",29
29349661,"293423","OUT","DOWN","ceghFVW356;:",20
29349661,"293423","DOWN","RS","V",31
29349661,"293423","RS","LEFT","aefijkloqrsuvwxyzABJKMNOPSTUWXYZ0126789;",-8
29349661,"293423","LEFT","LEFT","arsIR",27
29349661,"293423","LEFT","ALL","abcdiqyGOW4567",18
29349661,"293423","ALL",NA,"aefgijloqstuvwxzADFGIOQSTUVWXY013678;",-5
29349661,"966102","RS","RS","bglsyCLRU4:",21
29349661,"966102","RS","RS","bcfjlmruILMOVX8",17
29349661,"966102","RS","RS","mqADJ",27
29349661,"966102","RS","RS","BV",30
29349661,"966102","RS","LEFT","BV",30
29349661,"966102","LEFT","ALL","jklrstzABHIJPQRXYZ",14
29349661,"966102","ALL","ALL","dO9",29
29349661,"966102","ALL","ALL","dO9",29
29349661,"966102","ALL","RS","dO9",29
29349661,"966102","RS","RS","ceghFVW356;:",20
29349661,"966102","RS","ALL","V",31
29349661,"966102","ALL","RS","aefijkloqrsuvwxyzABJKMNOPSTUWXYZ0126789;",-8
29349661,"966102","RS","OUT","arsIR",27
29349661,"966102","OUT","RS","abcdiqyGOW4567",18
29349661,"966102","RS",NA,"aefgijloqstuvwxzADFGIOQSTUVWXY013678;",-5
30444416,"304467","RS","RS","egmopuxCDKMNV138;:",14
30444416,"304467","RS","NOTHING","bejk34",26
30444416,"304467","NOTHING","RS","",32
30444416,"304467","RS","RS","",32
30444416,"304467","RS","RS","",32
30444416,"304467","RS","RS","",32
30444416,"304467","RS","RS","lorsuvBCEKLQUZ02",16
30444416,"304467","RS","NOTHING","elmozEHKOV7;",20
30444416,"304467","NOTHING","OUT","",32
30444416,"304467","OUT",NA,"abhyVW5789;",21
30444416,"441635","RIGHT","RS","egmopuxCDKMNV138;:",14
30444416,"441635","RS","RS","bejk34",26
30444416,"441635","RS","NOTHING","",32
30444416,"441635","NOTHING","NOTHING","",32
30444416,"441635","NOTHING","NOTHING","",32
30444416,"441635","NOTHING","IN","",32
